Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Parental_Education_Level,Gender,Exam_Score
8,61,Medium,Medium,Yes,7,54,Medium,1,High,Medium,Public,Positive,3,College,Male,60
19,69,Medium,High,Yes,7,82,High,1,Low,Medium,Public,Negative,2,High School,Male,65
22,71,High,Medium,No,6,79,High,1,Low,Low,Public,Positive,3,High School,Male,66
29,78,High,High,Yes,4,93,Low,5,Medium,High,Public,Neutral,3,College,Male,74
17,67,Medium,Medium,Yes,5,52,High,2,Medium,Medium,Private,Negative,3,High School,Female,62
15,95,Medium,Medium,No,7,93,Medium,2,Low,Medium,Public,Positive,4,College,Male,70
17,88,Medium,High,Yes,7,94,Low,0,Medium,Medium,Public,Neutral,3,High School,Male,69
25,63,Medium,High,Yes,7,72,Medium,3,Medium,High,Private,Negative,4,College,Male,67
22,86,Low,Low,No,6,54,Medium,2,Medium,Medium,Public,Neutral,0,High School,Male,64
17,86,Medium,High,No,5,97,High,3,High,Medium,Public,Neutral,3,College,Male,71
23,98,Medium,Low,Yes,7,54,Low,0,Medium,Medium,Public,Negative,3,College,Female,68
21,60,High,Medium,No,7,80,Medium,0,Medium,High,Public,Neutral,4,College,Male,64
26,70,Medium,Low,Yes,8,75,Medium,1,Medium,Low,Private,Neutral,4,High School,Female,63
16,97,Medium,Medium,Yes,6,92,Low,0,High,Medium,Private,Positive,4,College,Male,71
18,97,High,Medium,Yes,4,75,Low,0,Low,Medium,Public,Positive,3,High School,Male,69
18,89,High,Medium,Yes,4,73,Medium,3,High,Medium,Private,Positive,2,College,Female,100
11,91,Medium,Medium,No,6,94,Medium,3,Medium,Medium,Public,Neutral,3,College,Male,68
22,64,Low,Medium,No,7,98,Low,1,Medium,Medium,Public,Negative,3,High School,Male,62
22,81,Medium,Medium,Yes,7,77,Low,2,Medium,Medium,Public,Positive,3,Postgraduate,Female,68
20,69,High,High,Yes,6,73,Medium,2,Low,Medium,Private,Positive,3,High School,Male,66
19,67,Low,Medium,No,5,92,High,0,Medium,Medium,Public,Positive,3,College,Male,64
12,92,Medium,Medium,No,4,92,High,2,Medium,High,Public,Neutral,3,High School,Male,67
17,65,Medium,High,Yes,8,66,Medium,1,High,High,Public,Neutral,4,Postgraduate,Female,65
18,79,Medium,Medium,Yes,7,79,Medium,0,Low,High,Private,Neutral,3,College,Male,65
15,98,High,Medium,No,6,58,High,0,Low,High,Public,Positive,3,College,Male,69
19,67,Medium,Medium,No,5,82,High,1,Low,Low,Private,Negative,3,High School,Male,63
22,99,Medium,Low,Yes,6,92,Low,3,Medium,Medium,Public,Negative,4,Postgraduate,Male,72
31,100,Medium,Medium,No,7,59,Medium,2,High,High,Public,Positive,5,Postgraduate,Male,76
21,82,Medium,High,Yes,7,66,High,3,Low,Medium,Public,Positive,3,College,Female,69
22,67,Medium,Medium,Yes,7,72,High,3,Low,High,Public,Positive,2,Postgraduate,Female,67
20,73,High,Medium,Yes,9,92,Medium,2,Medium,High,Public,Positive,3,College,Male,69
8,77,High,Medium,Yes,6,87,Medium,0,Low,Medium,Public,Neutral,2,High School,Male,63
20,72,Medium,Medium,No,9,66,Medium,3,Low,High,Private,Positive,3,Postgraduate,Male,67
20,71,Low,High,Yes,7,62,High,2,Medium,Medium,Public,Negative,5,College,Male,66
35,99,High,High,Yes,7,85,Low,2,Medium,High,Private,Neutral,2,Postgraduate,Female,79
19,66,Medium,Medium,No,8,74,Medium,1,High,Medium,Public,Neutral,3,High School,Female,64
22,89,High,High,Yes,6,80,Medium,1,High,High,Public,Positive,3,High School,Female,73
20,60,Low,High,No,7,82,High,2,Low,High,Public,Positive,4,High School,Male,63
13,84,Medium,Medium,No,5,78,Medium,1,Low,High,Public,Positive,2,High School,Male,65
27,97,Low,High,Yes,8,81,Medium,0,High,Medium,Public,Positive,5,High School,Female,73
25,72,High,High,Yes,8,94,Low,2,Low,Medium,Private,Positive,4,College,Female,70
25,67,High,Medium,No,9,93,High,2,Low,High,Public,Positive,3,High School,Female,68
15,86,Medium,Medium,Yes,7,57,Medium,1,Medium,Medium,Public,Negative,3,College,Male,65
28,89,Low,High,Yes,9,79,High,0,Low,Medium,Private,Positive,1,College,Female,71
12,88,Low,Medium,No,6,72,Low,2,Medium,Medium,Public,Positive,2,College,Male,64
24,73,Medium,High,Yes,8,64,Medium,4,High,Medium,Private,Neutral,3,College,Male,68
33,70,Medium,Medium,Yes,6,82,Low,1,Low,High,Public,Neutral,4,College,Male,69
14,98,Medium,Medium,No,7,76,Medium,0,Medium,High,Private,Positive,4,College,Female,69
17,97,Medium,Medium,No,8,89,Medium,1,Low,,Public,Neutral,4,High School,Male,69
21,78,Medium,Medium,Yes,10,55,Medium,1,High,Low,Private,Positive,2,College,Male,67
17,94,Low,Medium,Yes,8,65,Low,4,Medium,Medium,Public,Neutral,6,High School,Female,68
11,78,Medium,High,Yes,8,51,Medium,2,Low,Medium,Public,Neutral,3,Postgraduate,Male,64
20,77,Medium,Medium,No,6,87,Low,0,Low,High,Public,Positive,4,High School,Female,66
14,66,High,Low,No,7,96,Medium,3,Low,High,Public,Negative,3,High School,Male,63
23,77,Medium,Medium,Yes,7,79,Medium,0,Low,High,Public,Neutral,2,High School,Male,66
14,81,Medium,Medium,No,9,81,Medium,1,Low,High,Private,Negative,3,Postgraduate,Female,66
29,61,Medium,High,Yes,7,52,Low,3,Low,Medium,Private,Positive,3,College,Female,67
15,78,High,High,No,9,75,Low,1,Low,Medium,Public,Negative,1,High School,Male,65
18,91,Low,Medium,Yes,5,76,Medium,1,Medium,Medium,Public,Neutral,3,High School,Female,68
25,87,Medium,Low,No,9,52,High,1,Low,High,Private,Positive,2,High School,Male,68
13,85,High,Medium,No,6,89,Medium,0,High,Medium,Private,Neutral,1,High School,Male,65
21,96,Medium,Medium,No,8,64,High,2,Medium,High,Public,Neutral,0,College,Male,71
28,61,Medium,High,No,6,86,High,1,Low,Medium,Private,Negative,3,Postgraduate,Male,65
10,82,Medium,Low,No,8,70,Medium,3,Low,High,Public,Positive,1,Postgraduate,Female,64
21,91,High,Medium,No,6,100,Medium,0,High,Medium,Private,Neutral,2,Postgraduate,Female,72
22,82,Medium,Medium,No,9,61,Medium,2,Low,Medium,Public,Negative,2,High School,Female,65
25,73,Medium,High,No,8,53,High,0,Low,High,Private,Negative,5,Postgraduate,Female,66
13,65,Low,High,No,6,99,Medium,0,Low,Medium,Private,Negative,4,High School,Male,61
12,96,Low,High,Yes,8,62,Medium,2,Medium,High,Public,Negative,3,College,Female,68
23,79,High,High,Yes,8,82,Low,3,Medium,Medium,Public,Negative,3,Postgraduate,Female,69
22,95,Medium,High,Yes,6,69,Medium,1,Low,Medium,Public,Positive,3,College,Female,72
22,83,Medium,High,Yes,5,82,Medium,2,Low,High,Public,Positive,3,Postgraduate,Female,71
22,87,High,High,No,5,80,Low,2,Low,High,Public,Negative,3,High School,Female,70
16,92,Medium,High,Yes,5,85,Low,1,Low,Medium,Public,Neutral,2,High School,Male,68
21,86,Low,Medium,Yes,5,51,Medium,2,Low,High,Public,Positive,2,High School,Female,67
22,76,Medium,Medium,Yes,8,92,Medium,1,Low,High,Public,Neutral,4,High School,Female,68
16,81,Medium,Medium,Yes,8,74,Medium,3,Medium,Medium,Public,Positive,2,Postgraduate,Female,68
31,92,Medium,Medium,Yes,4,76,Medium,2,Medium,High,Public,Positive,4,High School,Male,72
23,75,Low,High,No,6,71,Low,0,Medium,Medium,Public,Neutral,2,College,Male,65
13,76,Medium,High,No,5,99,Low,2,Medium,Medium,Private,Positive,4,High School,Female,66
24,64,Medium,Medium,Yes,8,90,High,0,Low,High,Public,Negative,3,High School,Male,65
14,97,Medium,Medium,Yes,6,66,Medium,2,Medium,Medium,Public,Negative,3,College,Female,67
25,64,Medium,High,No,5,89,Low,2,Medium,Medium,Public,Neutral,4,College,Male,66
27,86,Medium,Medium,No,7,72,Low,1,Medium,High,Public,Positive,4,High School,Male,69
15,77,Medium,Medium,Yes,8,94,Low,0,High,High,Public,Positive,3,College,Male,66
26,76,Medium,High,Yes,6,52,Medium,4,High,Low,Public,Neutral,3,High School,Male,69
22,87,High,Low,Yes,7,68,Medium,0,Low,Medium,Public,Neutral,2,High School,Male,67
25,63,High,Medium,Yes,6,71,Medium,1,Medium,Low,Private,Positive,3,High School,Male,66
31,84,Medium,Medium,Yes,9,87,Medium,2,Low,Medium,Private,Neutral,3,College,Male,71
19,91,High,Low,No,6,59,Medium,5,Medium,High,Public,Neutral,4,College,Male,70
15,93,High,Medium,No,6,64,Medium,2,Medium,High,Public,Positive,4,Postgraduate,Male,71
15,67,Medium,Medium,Yes,7,86,High,1,High,Medium,Private,Positive,3,Postgraduate,Male,66
15,96,Medium,Medium,No,7,54,High,3,Medium,High,Public,Negative,2,High School,Male,67
20,86,High,Low,No,8,60,Medium,1,Medium,Medium,Public,Neutral,4,College,Female,66
22,95,Medium,High,No,9,88,Low,0,Low,High,Public,Positive,2,Postgraduate,Male,72
22,79,Medium,Medium,No,9,94,Medium,1,Medium,Medium,Public,Positive,3,High School,Male,68
25,82,Medium,Medium,No,6,86,Medium,3,Low,High,Public,Positive,3,High School,Female,69
20,97,Medium,Medium,Yes,7,76,Low,2,Low,Low,Private,Positive,3,Postgraduate,Male,71
29,96,Medium,Medium,Yes,9,55,Low,0,Medium,Medium,Public,Neutral,2,Postgraduate,Female,70
18,78,Medium,Medium,No,9,91,High,2,High,Low,Public,Neutral,4,College,Female,67
36,71,Medium,Medium,Yes,6,56,Medium,2,High,Medium,Public,Positive,2,High School,Male,69
24,76,Low,High,No,8,69,Low,2,Medium,Medium,Public,Neutral,1,High School,Male,65
15,76,High,High,No,8,53,Medium,1,Low,Medium,Public,Neutral,4,College,Male,65
14,71,Medium,Medium,Yes,8,85,Low,2,Medium,High,Public,Neutral,4,High School,Male,64
23,71,Low,Low,Yes,9,75,Low,1,Low,Medium,Public,Negative,2,College,Male,63
19,94,Low,Medium,Yes,5,95,Medium,3,Low,Low,Public,Positive,2,High School,Male,69
24,63,Medium,Low,Yes,6,57,Medium,1,Low,High,Private,Neutral,5,College,Female,64
23,87,High,High,Yes,8,91,High,0,High,Medium,Private,Positive,3,High School,Male,72
20,67,Low,Medium,Yes,7,76,Medium,0,Medium,Medium,Public,Neutral,4,High School,Male,63
15,74,Low,High,Yes,4,68,Low,3,Low,Medium,Public,Positive,3,High School,Female,64
11,62,Medium,High,Yes,5,82,Medium,3,High,Medium,Private,Neutral,4,College,Male,64
17,71,Medium,Medium,Yes,8,90,Medium,5,Medium,Medium,Public,Positive,1,Postgraduate,Male,67
25,91,Medium,Medium,No,8,72,Low,2,Medium,High,Public,Positive,0,Postgraduate,Male,71
21,95,Medium,Medium,No,5,62,High,1,Medium,Low,Public,Positive,4,High School,Male,70
13,69,Medium,Low,Yes,9,96,Low,0,High,Medium,Private,Neutral,4,High School,Female,61
21,79,Medium,High,Yes,7,66,Low,2,Low,Medium,Public,Negative,4,College,Male,67
22,79,High,Medium,No,5,100,Medium,4,High,High,Public,Negative,3,College,Male,72
15,95,Low,Low,Yes,6,88,Low,1,Low,Medium,Public,Negative,5,High School,Male,66
21,91,Medium,High,Yes,5,84,Medium,1,High,Low,Public,Neutral,2,High School,Male,70
20,81,High,Medium,Yes,6,51,High,3,Medium,Medium,Public,Neutral,4,High School,Male,67
13,87,High,Low,Yes,4,72,Medium,2,Medium,High,Public,Neutral,3,High School,Female,67
22,94,Low,Medium,Yes,7,75,High,2,High,Medium,Public,Neutral,2,College,Female,71
23,60,High,Medium,Yes,8,69,Medium,1,Low,Medium,Private,Positive,4,College,Male,66
26,76,Medium,Medium,Yes,5,57,Medium,1,Medium,Medium,Public,Positive,4,High School,Male,68
26,96,Medium,Medium,Yes,7,68,Medium,3,High,Medium,Private,Positive,3,College,Female,74
12,90,Medium,Low,Yes,6,54,Medium,1,High,Medium,Public,Neutral,3,High School,Male,64
14,82,Medium,Medium,No,8,65,Medium,1,Low,Medium,Private,Positive,3,College,Male,65
23,81,Low,Medium,Yes,4,54,Medium,1,Low,Medium,Public,Neutral,3,College,Male,66
23,74,Medium,High,Yes,8,88,Low,0,Medium,High,Public,Negative,3,High School,Male,66
23,81,Medium,Low,No,4,84,Medium,2,Medium,Medium,Public,Positive,5,High School,Male,68
43,86,High,Medium,Yes,7,97,Medium,2,Medium,High,Public,Positive,1,High School,Female,78
23,77,Medium,High,Yes,6,69,Low,1,Medium,Medium,Private,Positive,2,High School,Female,67
27,89,Medium,High,Yes,6,89,Medium,3,Medium,Medium,Private,Positive,3,High School,Male,74
26,94,Medium,High,No,5,79,High,1,Low,High,Public,Positive,2,Postgraduate,Male,74
24,66,Medium,Low,No,9,82,Low,1,Medium,Medium,Public,Neutral,2,High School,Female,62
18,78,High,Medium,Yes,5,77,Medium,2,Medium,Medium,Public,Neutral,4,High School,Male,66
25,76,Medium,Medium,Yes,5,89,High,3,Medium,High,Public,Neutral,3,High School,Female,69
15,87,Medium,High,Yes,10,52,Medium,2,Low,High,Private,Positive,3,College,Male,68
19,70,Medium,Low,No,7,54,High,0,Medium,Medium,Public,Positive,2,High School,Male,89
17,86,High,Low,No,5,55,Low,2,High,Medium,Private,Neutral,4,College,Male,66
20,95,Low,Medium,Yes,7,64,Low,2,Medium,High,Public,Neutral,3,High School,Female,68
34,77,Medium,Low,Yes,7,80,Low,0,Medium,Medium,Public,Positive,3,High School,Male,69
9,96,Medium,Medium,Yes,4,82,High,0,Low,Medium,Public,Positive,4,College,Male,67
24,100,High,High,Yes,6,86,Low,2,Medium,Medium,Private,Positive,5,High School,Male,75
10,64,Medium,High,No,7,64,High,0,Medium,Medium,Public,Positive,4,High School,Female,60
17,69,High,Medium,Yes,9,83,Medium,2,Medium,High,Private,Positive,4,College,Female,66
27,98,Low,High,Yes,7,56,Low,1,High,Medium,Private,Positive,3,College,Female,73
20,98,Medium,Low,No,7,50,Low,1,Medium,High,Private,Neutral,2,High School,Female,68
14,64,Medium,Medium,Yes,6,85,Medium,0,Medium,Medium,Public,Neutral,3,High School,Male,62
16,61,Medium,Medium,No,9,86,Low,2,Low,High,Public,Positive,2,High School,Male,62
24,66,High,Low,Yes,8,81,High,1,Medium,Medium,Public,Neutral,4,High School,Male,65
16,100,High,Low,Yes,8,63,High,2,Low,Medium,Public,Negative,3,High School,Male,69
21,67,Medium,Medium,No,7,96,Low,3,Low,Medium,Public,Neutral,2,High School,Female,64
20,80,Medium,High,No,5,94,Medium,0,Low,Low,Private,Positive,4,Postgraduate,Female,67
16,94,High,High,Yes,9,76,Medium,0,Low,High,Public,Neutral,2,High School,Male,70
33,61,Medium,Medium,No,7,99,High,2,Medium,High,Public,Neutral,3,College,Female,70
24,84,High,Low,No,7,65,Low,3,Medium,High,Public,Positive,3,High School,Female,69
8,71,High,Low,No,8,75,Medium,0,Medium,High,Public,Positive,3,High School,Male,61
21,94,Medium,Medium,No,7,96,Low,0,Medium,Medium,Private,Neutral,2,Postgraduate,Male,69
16,71,High,Medium,Yes,5,73,Medium,1,Medium,Medium,Public,Neutral,0,High School,Male,63
25,87,Medium,Low,Yes,7,74,Low,0,Medium,High,Public,Neutral,4,High School,Male,67
15,87,Low,Medium,No,4,54,Medium,1,Medium,Medium,Public,Neutral,6,,Male,65
19,69,Medium,Medium,Yes,7,61,High,3,High,High,Public,Neutral,4,High School,Male,66
23,61,Low,Medium,No,9,58,Medium,4,Medium,Medium,Public,Neutral,2,High School,Male,63
25,76,Medium,High,Yes,4,78,Medium,2,Medium,Medium,Private,Negative,3,High School,Female,68
13,72,High,High,No,7,66,Medium,0,Low,High,Public,Neutral,4,Postgraduate,Male,65
18,92,Low,Medium,Yes,8,54,Medium,1,Medium,Medium,Public,Positive,3,High School,Male,67
17,92,Low,Low,Yes,8,75,Medium,2,Medium,High,Public,Neutral,3,Postgraduate,Female,68
16,78,Medium,High,No,6,83,Medium,0,Low,Low,Public,Neutral,3,College,Male,64
31,84,Medium,Medium,No,5,87,High,0,Medium,Medium,Private,Positive,3,College,Male,71
22,84,Medium,Medium,Yes,6,92,Low,0,Medium,Medium,Public,Neutral,5,High School,Female,69
12,93,Medium,Medium,Yes,9,74,Low,1,Medium,Medium,Public,Neutral,3,Postgraduate,Male,67
26,77,Low,Medium,No,4,70,Low,2,High,Low,Public,Neutral,3,College,Female,65
33,71,Low,Medium,No,5,84,Medium,1,Medium,Medium,Public,Positive,2,High School,Male,68
26,71,High,Medium,Yes,6,51,Low,1,High,Medium,Private,Positive,3,Postgraduate,Male,67
11,81,Medium,Medium,Yes,6,82,High,3,Medium,High,Public,Neutral,4,High School,Male,67
17,78,Medium,High,Yes,7,70,Medium,2,Low,High,Public,Positive,3,High School,Male,66
28,78,High,Medium,No,9,73,High,2,Medium,Medium,Public,Neutral,4,College,Female,70
16,64,High,Low,Yes,5,65,Medium,3,Medium,High,Private,Positive,4,Postgraduate,Female,65
23,89,Low,Low,Yes,7,56,Low,4,Medium,Low,Private,Positive,4,Postgraduate,Female,69
25,69,Medium,Medium,Yes,7,70,Low,1,High,High,Public,Positive,4,High School,Female,65
14,68,High,Medium,No,6,65,Medium,1,High,Medium,Public,Neutral,3,College,Male,63
20,77,Medium,Medium,No,5,98,Low,2,Low,High,Private,Neutral,2,Postgraduate,Female,67
1,69,High,Medium,Yes,6,97,Medium,1,Low,Medium,Public,Positive,3,High School,Female,61
14,83,Medium,Low,Yes,6,82,Medium,0,Medium,Medium,Public,Positive,2,High School,Female,65
18,75,Low,High,Yes,8,95,Medium,1,Low,Low,Public,Neutral,2,College,Female,66
13,78,Medium,High,Yes,8,88,High,0,High,Low,Public,Neutral,3,College,Male,66
30,81,Medium,Low,Yes,5,67,Medium,1,High,High,Public,Negative,1,High School,Male,69
11,68,Medium,Medium,No,6,80,Medium,2,Medium,Medium,Public,Positive,3,College,Female,63
17,66,Low,High,No,6,61,Medium,1,High,Medium,Public,Positive,6,Postgraduate,Male,65
21,95,Low,Low,No,10,84,Low,0,High,Medium,Public,Neutral,4,High School,Male,67
29,77,High,High,Yes,7,52,Medium,2,High,Medium,Public,Negative,3,High School,Female,69
11,76,Low,Medium,Yes,5,92,Medium,4,Medium,Low,Public,Negative,2,Postgraduate,Male,65
27,61,Medium,Medium,No,6,79,Medium,1,Low,Medium,Public,Positive,3,High School,Male,65
20,80,High,Low,Yes,6,53,Medium,0,Low,Medium,Public,Neutral,2,College,Male,65
14,82,Medium,High,Yes,8,94,Low,2,Low,High,Public,Negative,5,College,Female,67
23,82,Low,Medium,Yes,8,94,Medium,1,Medium,Medium,Public,Negative,2,High School,Male,66
21,88,Medium,High,No,7,93,Medium,4,Low,Medium,Public,Positive,3,High School,Female,72
16,67,Medium,High,No,7,89,High,3,Low,Medium,Public,Positive,3,College,Male,66
20,70,Medium,Medium,Yes,7,84,Low,2,Medium,High,Private,Neutral,4,College,Male,65
18,92,High,Medium,Yes,7,70,Medium,1,Low,Medium,Public,Neutral,3,High School,Male,69
21,98,Medium,Low,No,4,57,Medium,2,High,Low,Public,Neutral,2,High School,Female,68
24,65,Medium,Low,No,7,64,Low,1,High,Medium,Public,Neutral,1,Postgraduate,Male,64
30,80,Low,High,No,6,67,Medium,3,Medium,Medium,Public,Negative,4,College,Female,69
13,69,Medium,Low,Yes,5,68,Low,0,High,Medium,Public,Positive,1,High School,Female,59
33,62,High,Medium,Yes,10,78,Medium,0,Medium,Medium,Private,Positive,3,High School,Female,68
8,73,Medium,Medium,No,7,60,Medium,0,High,Medium,Private,Neutral,3,High School,Female,60
19,66,Medium,High,No,7,59,Medium,1,High,Medium,Public,Negative,3,High School,Male,62
24,88,Low,Medium,Yes,6,86,Low,0,Low,Low,Public,Negative,3,College,Male,67
22,81,Low,High,Yes,8,50,High,4,Medium,Medium,Private,Positive,5,High School,Female,68
