n_tokens_title,n_tokens_content,n_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,kw_min_min,kw_max_min,kw_avg_min,kw_min_max,kw_max_max,kw_avg_max,kw_min_avg,kw_max_avg,kw_avg_avg,self_reference_avg_sharess,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,title_subjectivity,title_sentiment_polarity,shares
9,285,0.7441860436,4,2,0,21,4.343859649,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11785,1,0,0,0,0,0,0,0,0.5097435897,-0.0530849359,0.02807017544,0.05263157895,0.347826087,0.652173913,1,-1,10000
8,259,0.5627530342,19,3,9,0,5.023166023,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,1,0,0,0,0,0,0,0,0.2951751279,0.05729929162,0.01544401544,0.01158301158,0.5714285714,0.4285714286,0.75,0.55,761
12,682,0.459541984,10,0,1,0,4.620234604,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4732850483,0.06222666223,0.04985337243,0.03958944282,0.5573770492,0.4426229508,0.75,-0.25,1600
8,1118,0.5123966937,26,18,12,1,4.703935599,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3904.625,1,0,0,0,0,0,0,0,0.5796296296,0.05637860082,0.04114490161,0.0259391771,0.6133333333,0.3866666667,0.5666666667,-0.1,13600
8,397,0.6246786616,11,0,1,0,5.445843829,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3743137544,0.2124877017,0.06549118388,0.01007556675,0.8666666667,0.1333333333,0,0,3100
11,103,0.6893203817,3,1,1,0,4.844660194,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1,0,0,0,0,0,0,0,0.4236111111,0.1180555556,0.02912621359,0.009708737864,0.75,0.25,0.8571428571,-0.7142857143,5700
8,1207,0.4105793447,24,24,42,0,4.716652858,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2829.541667,1,0,0,0,0,0,0,0,0.5392516434,0.2882591791,0.0695940348,0.0115990058,0.8571428571,0.1428571429,0.5,0,17100
13,1248,0.3906376107,21,19,20,0,4.686698718,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3151.157895,1,0,0,0,0,0,0,0,0.5065351315,0.2904403929,0.06810897436,0.01121794872,0.8585858586,0.1414141414,0,0,2800
9,391,0.5102564089,9,2,1,1,5.296675192,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,704,1,0,0,0,0,0,0,0,0.2842105263,0.03333333333,0.0179028133,0.005115089514,0.7777777778,0.2222222222,0,0,598
11,1154,0.4273049642,20,20,20,0,4.629982669,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3151.157895,1,0,0,0,0,0,0,0,0.5336576221,0.2686678649,0.07452339688,0.0164644714,0.819047619,0.180952381,0,0,445
11,125,0.6747967425,1,1,1,0,4.824,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16100,1,0,0,0,0,0,0,0,0.3964015152,0.2107954545,0.048,0,1,0,0.45,0.4,1500
13,244,0.5599999975,3,2,1,0,4.422131148,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2800,1,0,0,0,0,0,0,0,0.3316399287,-0.09230540701,0.01639344262,0.02459016393,0.4,0.6,0.7,-0.4,852
8,266,0.5725806429,5,2,1,0,4.259398496,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,924,1,0,0,0,0,0,0,0,0.3130952381,0.0487012987,0.01127819549,0.01127819549,0.5,0.5,0.9,0.4,783
8,331,0.5626911298,5,3,1,0,4.782477341,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2500,1,0,0,0,0,0,0,0,0.5606957328,0.2954143476,0.06042296073,0.009063444109,0.8695652174,0.1304347826,0,0,1500
12,1225,0.3854515047,22,22,28,0,4.635918367,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3035.65,1,0,0,0,0,0,0,0,0.4807776608,0.2424471549,0.06448979592,0.01632653061,0.797979798,0.202020202,0.5,0.5,1800
10,243,0.6192468593,1,1,0,0,4.382716049,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5179843074,0.155603355,0.04938271605,0.02057613169,0.7058823529,0.2941176471,0,0,462
11,723,0.4909344484,18,1,1,0,5.228215768,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3750486785,0.1826960381,0.06362378976,0.008298755187,0.8846153846,0.1153846154,0.5,0.5,425
8,708,0.4822190605,8,3,1,1,4.620056497,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6100,1,0,0,0,0,0,0,0,0.4914278843,0.1389387068,0.05508474576,0.01553672316,0.78,0.22,0,0,3200
10,633,0.4760383379,2,2,19,0,4.985781991,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5319723366,0.1800760215,0.05371248025,0.01105845182,0.8292682927,0.1707317073,0,0,3900
14,290,0.6115107892,0,0,14,0,4.068965517,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5719067296,0.3181218024,0.06206896552,0.01034482759,0.8571428571,0.1428571429,0,0,480
10,597,0.5317324176,5,0,1,0,4.343383585,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4671870491,0.2429477814,0.04355108878,0.005025125628,0.8965517241,0.1034482759,1,1,573
8,204,0.5862068937,7,2,1,0,4.671568627,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6519404572,0.3169856459,0.07352941176,0.004901960784,0.9375,0.0625,0,0,3600
11,315,0.5512820495,4,4,1,0,4.380952381,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6200,1,0,0,0,0,0,0,0,0.5535195707,0.1765940657,0.03492063492,0.0126984127,0.7333333333,0.2666666667,0.55,0.35,343
10,1244,0.4175467097,27,22,20,0,4.752411576,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3713.136364,1,0,0,0,0,0,0,0,0.5116525676,0.2769754557,0.06752411576,0.0152733119,0.8155339806,0.1844660194,1,-0.6,7700
8,257,0.568093383,9,7,0,1,4.638132296,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1775,1,0,0,0,0,0,0,0,0.4,0.007407407407,0.03112840467,0.02723735409,0.5333333333,0.4666666667,0.6666666667,-0.5,2600
11,799,0.5043914674,8,6,1,0,4.695869837,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,972.4,1,0,0,0,0,0,0,0,0.42003367,0.1228896104,0.03754693367,0.02002503129,0.652173913,0.347826087,0,0,504
14,194,0.7647058783,4,4,0,1,4.520618557,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6300,1,0,0,0,0,0,0,0,0.3955882353,0.3470588235,0.05670103093,0,1,0,0.4,0.1,2100
10,1036,0.4295499017,21,21,20,0,4.727799228,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3168.6,1,0,0,0,0,0,0,0,0.5241633367,0.2893586622,0.07818532819,0.01351351351,0.8526315789,0.1473684211,0,0,1100
6,174,0.6918604611,0,0,1,0,4.798850575,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5886363636,0.1590909091,0.01724137931,0,1,0,0,0,401
14,1237,0.4237704915,24,24,42,0,4.70331447,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2758.708333,1,0,0,0,0,0,0,0,0.5071847178,0.2616286858,0.06386418755,0.01131770412,0.8494623656,0.1505376344,0,0,4200
10,1081,0.4280373828,19,19,20,0,4.652173913,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3151.157895,1,0,0,0,0,0,0,0,0.5367934738,0.2692871437,0.0749306198,0.01757631822,0.81,0.19,0.7,-0.05,1200
9,1022,0.427427427,20,20,20,0,4.746575342,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3151.157895,1,0,0,0,0,0,0,0,0.5105081222,0.2847274013,0.07729941292,0.01174168297,0.8681318681,0.1318681319,0,0,1500
10,142,0.6546762543,2,1,1,0,4.274647887,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4428571429,0.1142857143,0.02112676056,0.007042253521,0.75,0.25,0,0,575
10,1190,0.4087030713,25,24,20,0,4.620168067,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3151.157895,1,0,0,0,0,0,0,0,0.5065842094,0.2435761699,0.06386554622,0.01512605042,0.8085106383,0.1914893617,0,0,507
12,161,0.6688311645,5,4,0,6,4.453416149,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8260.75,1,0,0,0,0,0,0,0,0.5723829201,0.166184573,0.04968944099,0.01863354037,0.7272727273,0.2727272727,0.5833333333,0.25,1200
11,1108,0.4085923214,21,21,20,0,4.65433213,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3233.6,1,0,0,0,0,0,0,0,0.4993976462,0.259654143,0.07400722022,0.01353790614,0.8453608247,0.1546391753,0,0,695
11,1089,0.4186915884,20,20,20,0,4.694214876,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3083.6,1,0,0,0,0,0,0,0,0.4959446803,0.2665340909,0.072543618,0.01285583104,0.8494623656,0.1505376344,0,0,1200
11,214,0.64454976,2,1,0,1,4.654205607,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4230769231,0.05769230769,0.02803738318,0.01401869159,0.6666666667,0.3333333333,0.85,-0.4,4900
9,944,0.4330117895,21,21,20,0,4.706567797,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3151.157895,1,0,0,0,0,0,0,0,0.5209036797,0.2796770563,0.08262711864,0.01800847458,0.8210526316,0.1789473684,0.6428571429,0.2142857143,382
9,1030,0.4222440941,21,21,20,0,4.700970874,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3078.6,1,0,0,0,0,0,0,0,0.5058982684,0.2664167468,0.07669902913,0.01747572816,0.8144329897,0.1855670103,0,0,400
11,454,0.5660792939,5,3,1,0,4.885462555,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4673532197,0.1255073052,0.04405286344,0.01321585903,0.7692307692,0.2307692308,0.4272727273,0.1681818182,4600
9,1115,0.4241316267,21,21,20,0,4.631390135,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3428.6,1,0,0,0,0,0,0,0,0.5065203051,0.2797693946,0.07174887892,0.0134529148,0.8421052632,0.1578947368,0.3333333333,0.25,2400
10,555,0.5353901987,7,6,1,0,5.147747748,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1900,1,0,0,0,0,0,0,0,0.4250893677,0.1285152663,0.03963963964,0.01261261261,0.7586206897,0.2413793103,0.5,-0.1,1600
9,474,0.6086021492,11,0,1,0,4.759493671,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5425798602,0.1223701299,0.06329113924,0.0253164557,0.7142857143,0.2857142857,0.65,-0.5,1100
8,130,0.82170542,7,4,0,0,4.546153846,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1300,1,0,0,0,0,0,0,0,0.381986532,0.1521885522,0.03846153846,0.007692307692,0.8333333333,0.1666666667,0.25,0.2,1300
12,444,0.6009174298,9,8,23,0,4.810810811,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,997.3333333,1,0,0,0,0,0,0,0,0.4621376099,0.1931883773,0.0518018018,0,1,0,0.4545454545,0.1363636364,819
9,280,0.5766423337,5,5,10,1,4.4,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3733.333333,1,0,0,0,0,0,0,0,0.4909432673,0.1436887674,0.05,0.01071428571,0.8235294118,0.1764705882,0.5,0.1363636364,585
13,1024,0.4280078891,19,19,19,0,4.778320313,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3151.157895,1,0,0,0,0,0,0,0,0.5352414576,0.2900638843,0.08203125,0.0146484375,0.8484848485,0.1515151515,0,0,536
12,238,0.6212765931,3,1,1,0,4.256302521,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4557034632,0.1893181818,0.05462184874,0,1,0,0,0,834
9,1070,0.4215500941,22,20,20,0,4.655140187,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3151.157895,1,0,0,0,0,0,0,0,0.5135143644,0.2706706021,0.07570093458,0.01214953271,0.8617021277,0.1382978723,0.3333333333,0.25,645
12,463,0.504347825,1,1,4,0,4.362850972,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4023042929,0.1131678391,0.0626349892,0.01727861771,0.7837837838,0.2162162162,0.06666666667,0.03333333333,598
11,1005,0.4317269072,21,21,20,0,4.655721393,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3151.157895,1,0,0,0,0,0,0,0,0.5097921636,0.2737284654,0.07562189055,0.01492537313,0.8351648352,0.1648351648,0,0,217
8,403,0.5160427794,3,3,1,0,4.081885856,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,545,1,0,0,0,0,0,0,0,0.5184655435,0.0693956944,0.04962779156,0.03970223325,0.5555555556,0.4444444444,0.75,-0.125,3200
7,251,0.6157024768,1,1,1,1,4.80876494,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4627307558,-0.0346482062,0.02788844622,0.05976095618,0.3181818182,0.6818181818,0.375,-0.0625,545
11,317,0.6114649662,7,6,1,0,5.239747634,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1559.5,1,0,0,0,0,0,0,0,0.3747354497,0.09126984127,0.03785488959,0.0189274448,0.6666666667,0.3333333333,0.4833333333,0.4166666667,1800
12,177,0.7413793061,4,3,1,0,5.056497175,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,1,0,0,0,0,0,0,0,0.5743589744,0.2361305361,0.06779661017,0.01129943503,0.8571428571,0.1428571429,0.5,0.5,1200
6,109,0.6666666599,3,2,1,0,4.733944954,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,821,1,0,0,0,0,0,0,0,0.593006993,0.2402097902,0.09174311927,0.01834862385,0.8333333333,0.1666666667,0,0,732
11,399,0.5979899482,8,0,1,0,4.578947368,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5646374459,0.1078564665,0.04260651629,0.02255639098,0.6538461538,0.3461538462,0,0,1200
13,460,0.4999999989,4,4,1,0,4.460869565,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2366.666667,1,0,0,0,0,0,0,0,0.5144751082,0.1803841991,0.03695652174,0.008695652174,0.8095238095,0.1904761905,0,0,2800
9,443,0.4671201803,3,1,1,0,5.013544018,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4199074074,0.06666666667,0.03837471783,0.02257336343,0.6296296296,0.3703703704,0,0,495
8,218,0.6629834218,14,3,11,0,4.435779817,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3900,1,0,0,0,0,0,0,0,0.5219298246,0.299122807,0.05504587156,0.01834862385,0.75,0.25,0.5,0.5,690
12,988,0.4279835387,19,19,20,0,4.696356275,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3151.157895,1,0,0,0,0,0,0,0,0.5216974606,0.269174923,0.07489878543,0.01315789474,0.8505747126,0.1494252874,0.4545454545,0.1363636364,1300
6,374,0.6405405388,7,0,1,0,4.909090909,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3987394958,0.1217962185,0.03743315508,0.01871657754,0.6666666667,0.3333333333,0,0,552
5,356,0.6182336165,3,3,12,1,4.471910112,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,1,0,0,0,0,0,0,0,0.4359752992,0.1767379679,0.06179775281,0.01404494382,0.8148148148,0.1851851852,0.4545454545,0.1363636364,631
9,1226,0.410172272,10,10,1,1,4.393964111,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2858.4,1,0,0,0,0,0,0,0,0.4080223596,0.1066080729,0.02283849918,0.01141924959,0.6666666667,0.3333333333,0,0,4800
10,1121,0.4506787326,15,11,1,0,4.790365745,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2795.7,1,0,0,0,0,0,0,0,0.4972924901,0.1596103896,0.05619982159,0.0133809099,0.8076923077,0.1923076923,0,0,851
12,288,0.5894736821,5,2,0,0,4.381944444,6,0,0,0,0,0,1,217,504,421.75,0,17100,3616.666667,0,2019.346154,804.3803114,3100,0,1,0,0,0,0,0,0,0.4498677249,0.1555555556,0.04166666667,0.01041666667,0.8,0.2,0,0,755
10,414,0.606796115,8,0,1,0,4.980676329,6,0,0,0,0,0,1,217,504,408.3333333,0,17100,3516.666667,0,2019.346154,728.2303114,0,0,1,0,0,0,0,0,0,0.3434112906,0.01017360011,0.02898550725,0.038647343,0.4285714286,0.5714285714,0.3,0.2,468
11,134,0.702290071,4,2,9,0,4.47761194,10,0,0,0,0,1,0,217,462,299.8333333,0,17100,8810,0,2318.47619,1184.560009,727,0,1,0,0,0,0,0,0,0.4068181818,0.1357954545,0.0223880597,0.007462686567,0.75,0.25,0,0,4600
11,281,0.6107142835,5,4,1,0,4.608540925,4,0,1,0,0,0,0,217,593,461,0,17100,5725,0,2019.346154,1114.024038,951,0,1,0,0,0,0,0,0,0.4342184601,0.08992540198,0.0462633452,0.02135231317,0.6842105263,0.3157894737,0,0,1300
12,499,0.5130260511,14,1,1,0,5.084168337,10,1,0,0,0,0,0,217,1500,581.4,0,17100,3460,0,2193.25,884.8519963,1300,0,1,0,0,0,0,0,0,0.3949494949,0.09154040404,0.02805611222,0.01002004008,0.7368421053,0.2631578947,0.3,0,1200
9,268,0.4772727255,5,2,9,0,4.858208955,10,0,0,0,0,1,0,217,761,407.5,0,17100,7690,0,2153.666667,1191.159056,0,0,1,0,0,0,0,0,0,0.4059090909,0.1022727273,0.02611940299,0.007462686567,0.7777777778,0.2222222222,0,0,1100
7,925,0.4279475978,20,20,20,0,4.673513514,8,0,0,0,0,1,0,217,536,305.5,480,17100,11814.25,480,2102.771429,1539.417214,3151.157895,0,1,0,0,0,0,0,0,0.5031840966,0.2763700159,0.07783783784,0.01837837838,0.808988764,0.191011236,0,0,1500
10,261,0.5482625461,20,3,16,0,4.850574713,7,0,0,0,0,0,0,217,761,531,0,17100,5157.142857,0,4659.5,1399.692308,2700,0,1,0,0,0,0,0,0,0.6288888889,0.09416666667,0.03448275862,0.02298850575,0.6,0.4,0.1,-0.1,2400
13,306,0.5346534636,3,2,1,0,4.578431373,10,0,0,1,0,0,0,217,5700,1006.875,0,17100,8571.1,0,5700,1802.972938,0,0,1,0,0,0,0,0,0,0.3950865801,0.2083116883,0.04901960784,0,1,0,0.6666666667,0.3333333333,1200
10,909,0.4496124026,3,2,1,1,4.343234323,5,0,1,0,0,0,0,217,593,405,0,17100,4340,0,2019.346154,713.9192308,20900,0,1,0,0,0,0,0,0,0.4704155255,0.1751566319,0.06490649065,0.02200220022,0.746835443,0.253164557,0.4,0.1,1700
12,999,0.4240890684,21,20,20,0,4.736736737,7,0,0,0,0,1,0,217,343,242.2,0,17100,12214.28571,0,2318.47619,1466.210433,3151.157895,0,1,0,0,0,0,0,0,0.525368806,0.3109786492,0.08508508509,0.01201201201,0.8762886598,0.1237113402,0.8,0.4,1200
12,1011,0.4138972806,20,20,20,0,4.582591494,7,0,0,0,0,1,0,217,343,238,0,17100,13314.28571,0,2318.47619,1645.533414,3151.157895,0,1,0,0,0,0,0,0,0.5095717856,0.2930151292,0.07616221563,0.0118694362,0.8651685393,0.1348314607,0.3,0.1,500
10,413,0.6064356421,6,1,13,0,4.702179177,6,0,1,0,0,0,0,217,598,469.3333333,0,17100,3833.333333,0,1953.144444,707.2407407,527,0,0,1,0,0,0,0,0,0.4465483921,0.1564258658,0.0411622276,0.01210653753,0.7727272727,0.2272727273,0.06666666667,0.03333333333,455
9,180,0.6300577998,1,1,0,0,4.361111111,7,0,0,0,0,1,0,217,462,278.8333333,0,17100,12400,0,2082.425,1516.040684,0,0,0,1,0,0,0,0,0,0.3675,0.0875,0.01666666667,0.01111111111,0.6,0.4,0,0,1100
9,759,0.498666666,17,9,1,0,4.657444005,6,0,0,1,0,0,0,217,690,444,0,17100,3498.333333,0,1953.144444,649.6074074,2989,0,0,1,0,0,0,0,0,0.6012568406,0.10764008,0.04084321476,0.009222661397,0.8157894737,0.1842105263,0,0,459
13,1226,0.4361968303,26,0,1,0,4.501631321,8,0,0,0,0,1,0,217,343,280,0,17100,8550,0,2339.52,1048.310288,0,0,0,1,0,0,0,0,0,0.4622724373,0.1601645802,0.05546492659,0.02039151713,0.7311827957,0.2688172043,0,0,1400
6,241,0.6595744653,5,5,1,0,4.850622407,5,0,1,0,0,0,0,217,598,469.3333333,0,17100,4600,0,1953.144444,848.6888889,2691.666667,0,0,1,0,0,0,0,0,0.5181818182,0.136631016,0.03319502075,0.01244813278,0.7272727273,0.2727272727,0,0,6400
9,168,0.7784810077,6,4,11,0,4.678571429,9,0,0,0,1,0,0,217,690,572,0,17100,3110,0,2322.5,831.5104938,6600,0,0,1,0,0,0,0,0,0.6377192982,0.08798245614,0.07142857143,0.04761904762,0.6,0.4,1,-1,4800
10,1121,0.4180995471,20,20,19,0,4.609277431,8,0,0,0,0,1,0,217,462,279.125,1300,17100,13950,726.6,2339.52,1777.330599,3151.157895,0,0,1,0,0,0,0,0,0.5225070906,0.2262246231,0.07314897413,0.0223015165,0.7663551402,0.2336448598,0.2,-0.1,695
7,1174,0.4579037797,32,0,1,0,4.637989779,8,0,0,0,0,0,0,217,761,517,0,17100,3932.625,0,4151,858.1430556,0,0,0,1,0,0,0,0,0,0.4603838955,0.04783019597,0.03833049404,0.02810902896,0.5769230769,0.4230769231,0,0,341
7,376,0.5690140829,3,2,0,11,4.457446809,9,0,1,0,0,0,0,217,1200,675,0,17100,4055.555556,0,5428.571429,1084.446208,1100,0,0,1,0,0,0,0,0,0.4848958333,0.2197916667,0.04787234043,0.005319148936,0.9,0.1,0.1,0,1900
9,142,0.7142857092,3,2,0,1,4.542253521,6,0,0,0,0,0,0,217,2100,937.6,0,17100,9866.666667,0,8566.666667,3492.730423,2500,0,0,1,0,0,0,0,0,0.4895833333,0.002083333333,0.04225352113,0.02816901408,0.6,0.4,0.54375,-0.25625,1200
9,825,0.4380368093,23,21,19,0,4.736969697,10,0,0,0,0,0,0,217,1200,482.1666667,0,17100,9560,0,5428.571429,1775.371964,3151.157895,0,0,1,0,0,0,0,0,0.5245382395,0.3027159692,0.08727272727,0.01696969697,0.8372093023,0.1627906977,0.5,0.25,450
